iter	RMSE
0	53.80829535
1	49.84358912
2	45.89051368
3	42.74440676
4	39.81636223
5	37.27645845
6	34.84679631
7	32.89700775
8	31.06376383
9	29.169991
10	27.79761186
11	26.37431116
12	25.13830373
13	24.03590528
14	23.14575339
15	22.10260409
16	21.0392823
17	20.13924696
18	19.27695267
19	18.58116302
20	17.72157803
21	17.03149692
22	16.4718879
23	15.90627559
24	15.423943
25	14.9720768
26	14.61987555
27	14.29630372
28	13.99042065
29	13.6593616
30	13.4547865
31	13.18975831
32	12.96187907
33	12.70015937
34	12.45261747
35	12.30183724
36	12.12321553
37	11.96789716
38	11.80352699
39	11.6515837
40	11.47093533
41	11.3710784
42	11.25762379
43	11.14644081
44	11.02070929
45	10.90886845
46	10.82439071
47	10.70249838
48	10.59310712
49	10.50808105
50	10.42132518
51	10.33102505
52	10.20822807
53	10.12254154
54	10.02269612
55	9.911199751
56	9.809341096
57	9.726035611
58	9.671604667
59	9.596007282
60	9.538453078
61	9.475785769
62	9.400764571
63	9.318886585
64	9.247150041
65	9.185548813
66	9.118783118
67	9.05525924
68	9.010533968
69	8.911741352
70	8.837869736
71	8.756173236
72	8.683137154
73	8.619027986
74	8.541343171
75	8.468873788
76	8.415287679
77	8.331858147
78	8.300123987
79	8.241196253
80	8.185228043
81	8.149525676
82	8.104969585
83	8.066023734
84	8.016961329
85	7.972119119
86	7.93039459
87	7.827405395
88	7.775601587
89	7.729799991
90	7.658299592
91	7.607475184
92	7.502408483
93	7.479148964
94	7.400414223
95	7.345875423
96	7.276413179
97	7.210896734
98	7.160460198
99	7.112725637
100	7.066504671
101	7.021952105
102	6.99017033
103	6.957099594
104	6.922249791
105	6.849118131
106	6.79482302
107	6.747118659
108	6.70991458
109	6.661028423
110	6.634947758
111	6.585521734
112	6.562073494
113	6.528259048
114	6.510623228
115	6.471528519
116	6.43974623
117	6.377203329
118	6.350059408
119	6.290919842
120	6.254835828
121	6.207472206
122	6.139513676
123	6.087358197
124	6.04976662
125	6.009692352
126	5.978709522
127	5.958915047
128	5.919089104
129	5.868008163
130	5.855943347
131	5.824541872
132	5.80555175
133	5.754142526
134	5.723594081
135	5.713409882
136	5.681010487
137	5.647578861
138	5.641067211
139	5.596966935
140	5.550085373
141	5.522349996
142	5.48607344
143	5.445334416
144	5.427686299
145	5.41575278
146	5.387350844
147	5.344625179
148	5.309801339
149	5.275066865
150	5.244058949
151	5.198586536
152	5.183887429
153	5.159859035
154	5.153386535
155	5.136610263
156	5.098305435
157	5.084566451
158	5.077602361
159	5.065066287
160	5.034250882
161	5.011339393
162	5.00461661
163	4.966030646
164	4.949982669
165	4.931863283
166	4.909073704
167	4.876955573
168	4.863898321
169	4.852372954
170	4.810905805
171	4.789933302
172	4.778070361
173	4.774535373
174	4.749122861
175	4.741129067
176	4.701262656
177	4.680761357
178	4.667532702
179	4.641586515
180	4.607188581
181	4.57032643
182	4.562922655
183	4.55188678
184	4.519510935
185	4.504996965
186	4.474354977
187	4.464301388
188	4.445011483
189	4.421564812
190	4.399674834
191	4.392745823
192	4.374849658
193	4.33264926
194	4.307523543
195	4.27899317
196	4.263256794
197	4.255096901
198	4.229445019
199	4.216266876
200	4.212617008
201	4.193441258
202	4.186425914
203	4.16204409
204	4.139831171
205	4.117076781
206	4.09434113
207	4.091625369
208	4.062517737
209	4.058761388
210	4.044096484
211	4.033204545
212	4.007468833
213	3.983188329
214	3.96574741
215	3.955692377
216	3.93035756
217	3.907209447
218	3.88141263
219	3.876041371
220	3.873064217
221	3.844777756
222	3.817027298
223	3.806638272
224	3.790884617
225	3.784756037
226	3.782420081
227	3.780602978
228	3.778849419
229	3.766267909
230	3.763775948
231	3.762055087
232	3.754752212
233	3.722912686
234	3.693696407
235	3.673245475
236	3.671747317
237	3.64220592
238	3.636451841
239	3.621590824
240	3.614469777
241	3.601645905
242	3.58034118
243	3.575781377
244	3.552210667
245	3.528725674
246	3.506804386
247	3.486475791
248	3.465416568
249	3.447792396
250	3.434114666
251	3.417967439
252	3.403259239
253	3.401536036
254	3.387144526
255	3.367557071
256	3.361602027
257	3.342212619
258	3.340838565
259	3.319744352
260	3.318508252
261	3.311971716
262	3.293566089
263	3.286919642
264	3.271743615
265	3.258650164
266	3.242978992
267	3.235918191
268	3.228257444
269	3.209339402
270	3.181800638
271	3.169428927
272	3.159152132
273	3.156453038
274	3.155225899
275	3.144675797
276	3.139602466
277	3.126020253
278	3.115239644
279	3.104046178
280	3.102915396
281	3.092313382
282	3.087620774
283	3.086450018
284	3.067971338
285	3.054832631
286	3.0504226
287	3.037457775
288	3.024070588
289	3.0104692
290	2.997736735
291	2.989109646
292	2.978062748
293	2.976615129
294	2.965029927
295	2.960538248
296	2.93855753
297	2.932912653
298	2.915373372
299	2.911448149
300	2.893355235
301	2.885212092
302	2.884225719
303	2.870582134
304	2.860403013
305	2.852991312
306	2.847575783
307	2.846735452
308	2.832553539
309	2.822535985
310	2.806165222
311	2.801046205
312	2.796962575
313	2.786803332
314	2.770720509
315	2.764987083
316	2.758043289
317	2.7440148
318	2.734198175
319	2.732875838
320	2.721162608
321	2.717423859
322	2.712351067
323	2.703714899
324	2.690138797
325	2.689573962
326	2.688828076
327	2.675804573
328	2.663084139
329	2.642783126
330	2.631661412
331	2.613632894
332	2.602384304
333	2.595813486
334	2.590251857
335	2.58230945
336	2.579745689
337	2.567069334
338	2.562439878
339	2.550011051
