25%,50%,75%,max,mean,min,std,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
4574.280000000001,5791.08,5796.960000000001,5913.6,5099.691428571429,3250.6800000000003,1215.8742333458204,3167.88,3171.48,3178.6800000000003,3263.5200000000004,3182.76,3241.68,3226.4400000000005,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6
4574.280000000001,5791.08,5796.960000000001,5913.6,5092.817142857143,3202.5600000000004,1228.1445701777716,3171.48,3178.6800000000003,3263.5200000000004,3182.76,3241.68,3226.4400000000005,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004
4511.52,5791.08,5796.960000000001,5913.6,5074.885714285715,3202.5600000000004,1257.6446322505303,3178.6800000000003,3263.5200000000004,3182.76,3241.68,3226.4400000000005,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005
4482.24,5754.6,5793.780000000001,5913.6,5060.400000000001,3202.5600000000004,1248.4856977955335,3263.5200000000004,3182.76,3241.68,3226.4400000000005,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005,5696.04
4482.24,5754.6,5796.9000000000015,5913.6,5061.291428571429,3202.5600000000004,1249.0964392368935,3182.76,3241.68,3226.4400000000005,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005,5696.04,5797.320000000001
4482.24,5754.6,5782.860000000001,5797.320000000001,5040.668571428571,3202.5600000000004,1233.7771037404957,3241.68,3226.4400000000005,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005,5696.04,5797.320000000001,5769.240000000001
4392.42,5696.04,5761.92,5797.320000000001,5000.657142857142,3202.5600000000004,1209.4832729960108,3226.4400000000005,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005,5696.04,5797.320000000001,5769.240000000001,5516.4
3259.5000000000005,5516.4,5732.64,5797.320000000001,4642.937142857143,3202.5600000000004,1315.026217402962,3197.28,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005,5696.04,5797.320000000001,5769.240000000001,5516.4,3250.5600000000004
3259.5000000000005,5516.4,5732.64,5797.320000000001,4648.080000000001,3238.5600000000004,1308.5085286691867,5367.4800000000005,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005,5696.04,5797.320000000001,5769.240000000001,5516.4,3250.5600000000004,3238.5600000000004
3272.6400000000003,5516.4,5732.64,5797.320000000001,4651.834285714286,3238.5600000000004,1303.9200841418815,5365.68,5201.04,3255.48,3338.4,4970.76,5123.16,5122.2,5183.64,5103.84,3175.5600000000004,3244.4400000000005,5064.72,5244.960000000001,5219.04,5087.280000000001,5181.120000000001,3178.4400000000005,3238.8,4958.28,5400.960000000001,5177.52,5597.280000000001,5327.4,3222.1200000000003,3315.6000000000004,4984.800000000001,5249.280000000001,4981.3200000000015,5340.120000000001,5319.84,3200.6400000000003,3269.6400000000003,4987.200000000001,4847.16,4879.4400000000005,4929.120000000001,4755.720000000001,3207.0000000000005,3262.6800000000003,5493.6,5346.6,5681.52,5565.84,5262.480000000001,3250.6800000000003,3393.96,5797.4400000000005,5791.08,5913.6,5796.480000000001,5754.6,3202.5600000000004,3268.4400000000005,5696.04,5797.320000000001,5769.240000000001,5516.4,3250.5600000000004,3238.5600000000004,3294.7200000000003
