,time,a
107,2017-12-05 11:00:00.000001,489.3705844572896
108,2017-12-05 12:00:00.000000,485.7418111753371
109,2017-12-05 12:59:59.999999,482.5626204238922
110,2017-12-05 14:00:00.000001,482.305716120745
111,2017-12-05 15:00:00.000000,485.0674373795761
112,2017-12-05 15:59:59.999999,483.3333333333333
113,2017-12-05 17:00:00.000001,498.1053307642903
114,2017-12-05 18:00:00.000000,519.8137443802184
115,2017-12-05 18:59:59.999999,525.2408477842004
116,2017-12-05 20:00:00.000001,525.2729608220938
117,2017-12-05 21:00:00.000000,519.9421965317919
118,2017-12-05 21:59:59.999999,507.931920359666
119,2017-12-05 23:00:00.000001,485.645472061657
120,2017-12-06 00:00:00.000000,458.0603725112396
121,2017-12-06 00:59:59.999999,442.2607578676943
122,2017-12-06 02:00:00.000001,437.6364804110469
123,2017-12-06 03:00:00.000000,440.9120102761721
124,2017-12-06 03:59:59.999999,443.6416184971098
125,2017-12-06 05:00:00.000001,456.7758509955042
126,2017-12-06 06:00:00.000000,487.6685934489403
127,2017-12-06 06:59:59.999999,529.8651252408478
128,2017-12-06 08:00:00.000001,557.8998073217728
129,2017-12-06 09:00:00.000000,556.5189466923571
130,2017-12-06 09:59:59.999999,546.2106615285807
131,2017-12-06 11:00:00.000001,538.2466281310211
132,2017-12-06 12:00:00.000000,528.6769428387926
133,2017-12-06 12:59:59.999999,520.7450224791265
134,2017-12-06 14:00:00.000001,520.038535645472
135,2017-12-06 15:00:00.000000,515.7353885677585
136,2017-12-06 15:59:59.999999,512.5883108542068
137,2017-12-06 17:00:00.000001,522.9287090558767
138,2017-12-06 18:00:00.000000,550.2569043031472
139,2017-12-06 18:59:59.999999,561.7533718689789
140,2017-12-06 20:00:00.000001,559.5696852922287
141,2017-12-06 21:00:00.000000,554.6885035324342
142,2017-12-06 21:59:59.999999,543.0635838150289
143,2017-12-06 23:00:00.000001,516.4739884393064
144,2017-12-07 00:00:00.000000,494.3159922928709
145,2017-12-07 00:59:59.999999,477.4245343609505
146,2017-12-07 02:00:00.000001,472.2543352601156
147,2017-12-07 03:00:00.000000,468.7540141297367
148,2017-12-07 03:59:59.999999,471.034039820167
149,2017-12-07 05:00:00.000001,479.8330122029544
150,2017-12-07 06:00:00.000000,507.5465639049454
151,2017-12-07 06:59:59.999999,552.0552344251766
152,2017-12-07 08:00:00.000001,577.7135517019909
153,2017-12-07 09:00:00.000000,572.4791265253693
154,2017-12-07 09:59:59.999999,567.8227360308285
155,2017-12-07 11:00:00.000001,558.1888246628131
156,2017-12-07 12:00:00.000000,544.6371226718047
157,2017-12-07 12:59:59.999999,536.2556197816314
158,2017-12-07 14:00:00.000001,534.9389852280025
159,2017-12-07 15:00:00.000000,530.7642903018625
160,2017-12-07 15:59:59.999999,528.7732819524728
161,2017-12-07 17:00:00.000001,539.0815671162492
162,2017-12-07 18:00:00.000000,568.8824662813101
163,2017-12-07 18:59:59.999999,576.3969171483621
164,2017-12-07 20:00:00.000001,578.2915863840719
165,2017-12-07 21:00:00.000000,579.1265253693
166,2017-12-07 21:59:59.999999,566.69877970456
167,2017-12-07 23:00:00.000001,540.0449582530507
168,2017-12-08 00:00:00.000000,514.6435452793834
169,2017-12-08 00:59:59.999999,497.2061657032755
170,2017-12-08 02:00:00.000001,493.8342967244701
171,2017-12-08 03:00:00.000000,491.1689145793192
172,2017-12-08 03:59:59.999999,497.3346178548491
173,2017-12-08 05:00:00.000001,506.3262684649968
174,2017-12-08 06:00:00.000000,531.6955684007706
175,2017-12-08 06:59:59.999999,575.0160565189467
176,2017-12-08 08:00:00.000001,598.4585741811176
177,2017-12-08 09:00:00.000000,590.4303147077713
178,2017-12-08 09:59:59.999999,585.0995504174696
179,2017-12-08 11:00:00.000001,582.7552986512525
180,2017-12-08 12:00:00.000000,578.0346820809249
181,2017-12-08 12:59:59.999999,569.5889531149646
182,2017-12-08 14:00:00.000001,568.2402055234426
183,2017-12-08 15:00:00.000000,558.6384071933204
184,2017-12-08 15:59:59.999999,554.6242774566474
185,2017-12-08 17:00:00.000001,560.3082851637765
186,2017-12-08 18:00:00.000000,582.1451509312781
187,2017-12-08 18:59:59.999999,585.3243416827231
188,2017-12-08 20:00:00.000001,580.7000642260758
189,2017-12-08 21:00:00.000000,573.1856133590238
190,2017-12-08 21:59:59.999999,561.5928066795118
191,2017-12-08 23:00:00.000001,540.4945407835581
192,2017-12-09 00:00:00.000000,514.0012845215158
193,2017-12-09 00:59:59.999999,494.3481053307643
194,2017-12-09 02:00:00.000001,492.485549132948
195,2017-12-09 03:00:00.000000,486.8015414258189
196,2017-12-09 03:59:59.999999,488.8246628131021
197,2017-12-09 05:00:00.000001,494.4444444444445
198,2017-12-09 06:00:00.000000,505.5234425176621
199,2017-12-09 06:59:59.999999,523.4104046242775
200,2017-12-09 08:00:00.000001,541.9396274887605
201,2017-12-09 09:00:00.000000,555.9409120102761
202,2017-12-09 09:59:59.999999,559.9550417469493
203,2017-12-09 11:00:00.000001,553.7893384714193
204,2017-12-09 12:00:00.000000,546.8529222864483
205,2017-12-09 12:59:59.999999,531.8561335902376
206,2017-12-09 14:00:00.000001,522.0295439948619
207,2017-12-09 15:00:00.000000,520.1027617212588
208,2017-12-09 15:59:59.999999,520.6486833654465
209,2017-12-09 17:00:00.000001,529.3192035966601
210,2017-12-09 18:00:00.000000,557.2896596017983
211,2017-12-09 18:59:59.999999,562.9736673089275
212,2017-12-09 20:00:00.000001,556.5510597302505
213,2017-12-09 21:00:00.000000,549.3577392421323
214,2017-12-09 21:59:59.999999,538.7604367373153
215,2017-12-09 23:00:00.000001,521.1946050096338
216,2017-12-10 00:00:00.000000,498.330122029544
217,2017-12-10 00:59:59.999999,484.7463070006423
218,2017-12-10 02:00:00.000001,475.4335260115607
219,2017-12-10 03:00:00.000000,470.0385356454721
220,2017-12-10 03:59:59.999999,471.0661528580604
221,2017-12-10 05:00:00.000001,471.1303789338472
222,2017-12-10 06:00:00.000000,477.6814386640976
223,2017-12-10 06:59:59.999999,489.5311496467566
224,2017-12-10 08:00:00.000001,510.854206807964
225,2017-12-10 09:00:00.000000,524.4059087989724
226,2017-12-10 09:59:59.999999,531.3744380218369
227,2017-12-10 11:00:00.000001,527.4887604367373
228,2017-12-10 12:00:00.000000,519.9100834938985
229,2017-12-10 12:59:59.999999,513.8407193320488
230,2017-12-10 14:00:00.000001,500.6101477199743
231,2017-12-10 15:00:00.000000,497.3346178548491
232,2017-12-10 15:59:59.999999,497.7520873474631
233,2017-12-10 17:00:00.000001,507.8034682080925
234,2017-12-10 18:00:00.000000,542.2607578676943
235,2017-12-10 18:59:59.999999,552.7938342967245
236,2017-12-10 20:00:00.000001,555.6518946692357
237,2017-12-10 21:00:00.000000,552.4405908798973
238,2017-12-10 21:59:59.999999,537.7970456005138
239,2017-12-10 23:00:00.000001,515.2215799614644
240,2017-12-11 00:00:00.000000,495.7931920359666
241,2017-12-11 00:59:59.999999,482.0166987797046
242,2017-12-11 02:00:00.000001,473.9242132305716
243,2017-12-11 03:00:00.000000,474.0205523442518
244,2017-12-11 03:59:59.999999,476.7180475272961
245,2017-12-11 05:00:00.000001,491.1368015414258
246,2017-12-11 06:00:00.000000,518.1438664097624
247,2017-12-11 06:59:59.999999,565.2858060372511
248,2017-12-11 08:00:00.000001,592.2607578676943
