25%,50%,75%,max,mean,min,std,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
439.9486191393705,469.0109184328838,494.1875401412974,525.5619781631342,468.19273407612184,413.5517019910084,35.30880440579005,432.9800899165061,421.4836223506744,413.5517019910084,416.0244059087989,418.8182402055234,430.4431599229287,460.9505459216442,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513
448.330122029544,477.9062299293513,494.1875401412974,525.5619781631342,470.14604451146295,413.5517019910084,34.50581222669843,421.4836223506744,413.5517019910084,416.0244059087989,418.8182402055234,430.4431599229287,460.9505459216442,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454
450.6583172768144,477.9062299293513,494.1875401412974,525.5619781631342,471.7139984920834,413.5517019910084,32.97967297619444,413.5517019910084,416.0244059087989,418.8182402055234,430.4431599229287,460.9505459216442,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001
450.6583172768144,477.9062299293513,494.1875401412974,525.5619781631342,472.93987880818736,416.0244059087989,31.19520764348766,416.0244059087989,418.8182402055234,430.4431599229287,460.9505459216442,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001,435.5812459858702
450.6583172768144,477.9062299293513,494.1875401412974,525.5619781631342,473.79017620284264,418.8182402055234,29.809065749650188,418.8182402055234,430.4431599229287,460.9505459216442,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001,435.5812459858702,434.3288375080282
450.6583172768144,477.9062299293513,494.1875401412974,525.5619781631342,474.4645499986037,430.4431599229287,28.662291019726894,430.4431599229287,460.9505459216442,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001,435.5812459858702,434.3288375080282,434.4572896596018
450.6583172768144,477.9062299293513,494.1875401412974,525.5619781631342,474.6390773784591,434.3288375080282,28.39301282732808,460.9505459216442,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001,435.5812459858702,434.3288375080282,434.4572896596018,439.9165061014772
448.330122029544,477.9062299293513,494.1875401412974,525.5619781631342,473.72455390801707,434.3288375080282,29.181746195671625,507.0006422607578,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001,435.5812459858702,434.3288375080282,434.4572896596018,439.9165061014772,449.1329479768786
448.02504816955684,469.0109184328838,491.2813102119461,525.5619781631342,471.2085672000224,434.3288375080282,28.672515759237225,525.5619781631342,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001,435.5812459858702,434.3288375080282,434.4572896596018,439.9165061014772,449.1329479768786,463.4553628773282
448.02504816955684,463.4553628773282,489.6274887604368,522.6075786769429,468.50827957890033,434.3288375080282,26.133053511788493,522.6075786769429,511.7854849068722,498.7797045600514,481.2459858702633,469.0109184328838,459.9871547848426,449.7430956968529,446.917148362235,451.5735388567758,482.3378291586384,488.6962106615286,490.5587668593449,496.3712267180475,492.0038535645472,477.9062299293513,457.5465639049454,441.7469492614001,435.5812459858702,434.3288375080282,434.4572896596018,439.9165061014772,449.1329479768786,463.4553628773282,483.4617854849069
